City,sum,count,churn_rate
Sunnyvale,2,12,16.666666666666664
Sunol,1,4,25.0
Sunset Beach,2,5,40.0
Surfside,0,5,0.0
Susanville,2,4,50.0
Sutter,1,4,25.0
Sutter Creek,1,4,25.0
Sylmar,1,5,20.0
Taft,2,4,50.0
Tahoe City,1,4,25.0
Tahoe Vista,2,4,50.0
Tahoma,2,4,50.0
Tarzana,2,5,40.0
Taylorsville,1,4,25.0
Tecate,0,5,0.0
Tecopa,2,4,50.0
Tehachapi,1,4,25.0
Tehama,0,4,0.0
Temecula,6,12,50.0
Temple City,0,5,0.0
Templeton,3,4,75.0
Termo,1,4,25.0
Terra Bella,1,4,25.0
The Sea Ranch,2,4,50.0
Thermal,2,5,40.0
Thornton,2,4,50.0
Thousand Oaks,2,10,20.0
Thousand Palms,1,5,20.0
Three Rivers,0,4,0.0
Tipton,4,4,100.0
Tollhouse,1,4,25.0
Tomales,1,4,25.0
Topanga,1,5,20.0
Topaz,1,4,25.0
Torrance,8,25,32.0
Trabuco Canyon,2,4,50.0
Tracy,0,4,0.0
Tranquillity,2,4,50.0
Traver,1,4,25.0
Travis Afb,2,4,50.0
Trinidad,2,4,50.0
Trinity Center,2,4,50.0
Trona,2,4,50.0
Truckee,4,4,100.0
Tujunga,3,5,60.0
Tulare,1,4,25.0
Tulelake,0,4,0.0
Tuolumne,1,4,25.0
Tupman,0,4,0.0
Turlock,3,8,37.5
Tustin,1,8,12.5
Twain,4,4,100.0
Twain Harte,0,4,0.0
Twentynine Palms,3,10,30.0
Twin Bridges,0,4,0.0
Ukiah,1,4,25.0
Union City,2,4,50.0
Upland,0,10,0.0
Upper Lake,0,4,0.0
Vacaville,1,8,12.5
Valencia,3,10,30.0
Vallecito,2,4,50.0
Vallejo,3,16,18.75
Valley Center,2,5,40.0
Valley Ford,1,4,25.0
Valley Springs,1,4,25.0
Valley Village,1,5,20.0
Valyermo,1,4,25.0
Van Nuys,4,20,20.0
Venice,1,5,20.0
Ventura,4,12,33.33333333333333
Vernalis,2,4,50.0
Victorville,2,8,25.0
Vidal,2,5,40.0
Villa Park,0,4,0.0
Vina,2,4,50.0
Visalia,4,12,33.33333333333333
Vista,2,10,20.0
Volcano,0,4,0.0
Wallace,1,4,25.0
Walnut,2,5,40.0
Walnut Creek,4,12,33.33333333333333
Walnut Grove,2,4,50.0
Warner Springs,0,5,0.0
Wasco,1,4,25.0
Washington,0,4,0.0
Waterford,2,4,50.0
Watsonville,1,4,25.0
Weaverville,2,4,50.0
Weed,0,4,0.0
Weimar,1,4,25.0
Weldon,0,4,0.0
Wendel,1,4,25.0
Weott,0,4,0.0
West Covina,3,15,20.0
West Hills,0,5,0.0
West Hollywood,1,5,20.0
West Point,1,4,25.0
West Sacramento,1,8,12.5
Westlake Village,1,5,20.0
Westley,2,4,50.0
Westminster,0,4,0.0
Westmorland,2,5,40.0
Westport,1,4,25.0
Westwood,2,4,50.0
Wheatland,3,4,75.0
White Water,2,5,40.0
Whitethorn,2,4,50.0
Whitmore,1,4,25.0
Whittier,5,30,16.666666666666664
Wildomar,0,4,0.0
Williams,2,4,50.0
Willits,0,4,0.0
Willow Creek,0,4,0.0
Willows,1,4,25.0
Wilmington,0,5,0.0
Wilseyville,0,4,0.0
Wilton,1,4,25.0
Winchester,0,4,0.0
Windsor,0,4,0.0
Winnetka,1,5,20.0
Winterhaven,1,5,20.0
Winters,2,4,50.0
Winton,1,4,25.0
Wishon,0,4,0.0
Witter Springs,1,4,25.0
Wofford Heights,1,4,25.0
Woodacre,1,4,25.0
Woodbridge,1,4,25.0
Woodlake,0,4,0.0
Woodland,3,8,37.5
Woodland Hills,1,10,10.0
Woody,2,4,50.0
Wrightwood,4,4,100.0
Yermo,1,4,25.0
Yorba Linda,3,8,37.5
Yorkville,1,4,25.0
Yosemite National Park,2,4,50.0
Yountville,0,4,0.0
Yreka,0,4,0.0
Yuba City,2,8,25.0
Yucaipa,1,4,25.0
Yucca Valley,0,5,0.0
Zenia,1,4,25.0
